id,deleted,version,amount,deadline,epag_token,epag_trx_number,label,method,payment_date,status,fk_loan_request,code,channel_transaction_number,created_date,paid_amount,transaction_ref_debit,transaction_ref_number_debit
1f6b10d8-56d3-4f16-8e8d-755d9a9cfac3,f,2021-09-27 14:51:24.245,200.25,2021-09-30,,,,,,UNPAID,df74fb47-a35e-491b-aebd-3e243ead9945,,,2021-09-27 14:51:24.165692,,,
e940662c-363d-48b8-867e-09cbb7da88a2,f,2021-09-27 14:52:30.572,200.25,2021-09-30,,,,,,UNPAID,ac86bdc2-f777-4d73-9ea0-f819c72668c1,,,2021-09-27 14:52:30.571618,,,
132d29e2-f0b9-4c36-a847-25880ec090d2,f,2021-09-27 15:09:13.69,200.25,2021-09-30,,,,,,UNPAID,cac00964-648c-4a86-b112-30495cc435d7,,,2021-09-27 15:09:13.690029,,,
11306023-675e-4a56-9175-9b82117b65e4,f,2021-09-27 15:10:21.558,200.25,2021-09-30,,,,,,UNPAID,3edbf202-e635-4eb0-aa7c-b6272c24fc46,,,2021-09-27 15:10:21.558288,,,
3cfb7b8f-8b9b-4351-b560-acce70c0df18,f,2021-10-02 15:22:03.13,200.25,2021-10-04,,,,BATCH,2021-10-02 15:22:03.126366,PAID_LS_RECONCILED,7727a446-ee21-40ba-a371-04a63cbad1ac,8410071719487200000804102021,N00000000028,2021-10-01 17:26:39.397138,200.25,,
8b7892f0-69dd-41f2-8577-ba024cb5d582,f,2021-09-27 15:20:13.898,200.25,2021-09-30,,,,,,UNPAID,9227d5e0-bfa1-4f82-8aeb-91fb420878ef,,,2021-09-27 15:20:13.898294,,,
37b338be-d775-4071-a734-2044c7ea2ac3,f,2021-09-27 15:24:42.361,200.25,2021-09-30,,,,,,UNPAID,3eee078e-eb1a-4d4a-95a6-c9a5092dcf2e,,,2021-09-27 15:24:42.360947,,,
f79302bd-2e33-4e11-bb09-064b2821fe95,f,2021-09-27 15:51:39.499,200.25,2021-09-30,,,,,,UNPAID,e84e632e-ee2a-4551-8d80-945b10c9f52c,,,2021-09-27 15:51:39.49897,,,
27d5b5bd-535e-425b-9c80-1f8903aa66f4,f,2021-09-27 15:55:04.939,200.25,2021-09-30,,,,,,UNPAID,08872e54-defa-441b-9240-9c290de13cf4,,,2021-09-27 15:55:04.938882,,,
ed1bfe68-77d7-4c1f-9700-a4c081976a7d,f,2023-10-18 15:05:58.561,207.48,2024-01-16,,,,,,UNPAID,e8d9a87a-5512-405e-a221-580f122bea22,,,2023-10-18 15:05:58.554126,,,
454ab99b-c776-45ee-b42e-56d7e7354919,f,2021-09-27 16:01:35.384,200.25,2021-09-30,,,,,,UNPAID,2ba16732-34ae-48af-b9dc-dc573ffc6301,,,2021-09-27 16:01:35.383999,,,
